,,単語,意味,フレーズ,訳,英作問題,和訳問題,
87 ,1 ,art,技術,the art of writing,書く技術,the (    ) of writing,書く(    ),
88 ,2 ,fire,発砲する,fire into the crowd,群衆に向かって発砲する,(    ) into the crowd,群衆に向かって(    ),
88 ,1 ,fire,クビになった,He was fired from his job.,彼は仕事をクビになった,He was (    ) from his job.,彼は仕事を(    ),
89 ,1 ,object,物体,a strange flying object,奇妙な飛行物体,a strange flying (    ),奇妙な飛行(    ),
89 ,2 ,object,対象,an object of study,研究の対象,an (    ) of study,研究の(    ),
89 ,3 ,object,反対する,object to his drinking,彼が酒を飲むのに反対する,(    ) to his drinking,彼が酒を飲むのに(    ),
90 ,1 ,manage,何とか,manage to catch the train,何とか列車に間に合う,(    ) to catch the train,(    )列車に間に合う,
90 ,2 ,manage,を経営する,manage a big company,大会社を経営する,(    ) a big company,大会社(    ),
91 ,1 ,ground,根拠,On what grounds do you say that?,どんな根拠でそう言うのか？,On what (    ) do you say that?,どんな(    )でそう言うのか？,
92 ,1 ,assume,と思い込む,assume that money can buy happiness,金で幸福が買えると思い込む,(    ) that money can buy happiness,金で幸福が買える(    ),
92 ,2 ,assume,を引き受ける,assume responsibility,責任を引き受ける,(    ) responsibility,責任(    ),
93 ,2 ,direct,を向ける,direct his attention to the fact,その事実に彼の注意を向ける,(    ) his attention to the fact,その事実に彼の注意(    ),
93 ,1 ,direct,直接の,direct contact,直接の接触,(    ) contact,(    )接触,
93 ,3 ,direct,道を教える,direct her to the station,彼女に駅への道を教える,(    ) her to the station,彼女に駅への(    ),
93 ,4 ,direct,に指図する,direct the workers,労働者たちに指図する,(    ) the workers,労働者たち(    ),
94 ,1 ,fault,責任,"If he fails, it'll be my fault.",彼が失敗したら私の責任だ,"If he fails, it'll be my (    ).",彼が失敗したら私の(    )だ,
94 ,2 ,fault,欠点,He has a lot of faults.,彼は欠点が多い,He has a lot of (    ).,彼は(    )が多い,
95 ,3 ,due,予定だ,The train is due to arrive at ten.,その列車は10時に着く予定だ,The train is (    ) to arrive at ten.,その列車は10時に着く(    ),
95 ,4 ,due,期限だ,The report is due next Wednesday.,レポートは水曜が期限だ,The report is (    ) next Wednesday.,レポートは水曜が(    ),
95 ,2 ,due,十分な,pay due respect,十分な敬意を払う,pay (    ) respect,(    )敬意を払う,
95 ,1 ,due,のせいで,He is tired due to lack of sleep.,睡眠不足のせいで疲れている,He is tired (    ) to lack of sleep.,睡眠不足(    )疲れている,
96 ,3 ,manner,行儀,It's bad manners to spit.,つばを吐くのは行儀が悪い,It's bad (    ) to spit.,つばを吐くのは(    )が悪い,
96 ,1 ,manner,方法,in a scientific manner,科学的な方法で,in a scientific (    ),科学的な(    )で,
96 ,2 ,manner,態度,her friendly manner,彼女の好意的な態度,her friendly (    ),彼女の好意的な(    ),
97 ,1 ,pretty,かなり,a pretty long time,かなり長い間,a (    ) long time,(    )長い間,
98 ,3 ,strike,を襲った,The typhoon struck Osaka.,その台風は大阪を襲った,The typhoon (    ) Osaka.,その台風は大阪(    ),
98 ,1 ,strike,印象を与えた,The man struck me as strange.　,その男は私に奇妙な印象を与えた,The man (    ) me as strange.　,その男は私に奇妙な(    ),
98 ,2 ,strike,浮かんだ,Suddenly an idea struck him.,突然彼にある考えが浮かんだ,Suddenly an idea (    ) him.,突然彼にある考えが(    ),
99 ,1 ,exercise,運動,get regular exercise,規則的に運動する,get regular (    ),規則的に(    )する,
99 ,2 ,exercise,を用いる,exercise power over people,人々に対し権力を用いる,(    ) power over people,人々に対し権力(    ),
100 ,1 ,maintain,を維持する,maintain health,健康を維持する,(    ) health,健康(    ),
100 ,2 ,maintain,を主張する,maintain that he is innocent,彼の無罪を主張する,(    ) that he is innocent,彼の無罪(    ),
101 ,2 ,firm,堅い,a firm belief,堅い信念,a (    ) belief,(    )信念,
101 ,1 ,firm,会社,work for a big firm,大きな会社に勤める,work for a big (    ),大きな(    )に勤める,
102 ,1 ,article,記事,a newspaper article,新聞の記事,a newspaper (    ),新聞の(    ),
102 ,2 ,article,品物,an article for sale,販売用の品物,an (    ) for sale,販売用の(    ),
103 ,1 ,count,重要な,That's what counts.,それが重要なことだ,That's what (    ).,それが(    )ことだ,
104 ,2 ,appreciate,を鑑賞する,appreciate music,音楽を鑑賞する,(    ) music,音楽(    ),
104 ,3 ,appreciate,に感謝する,I appreciate your help.,君の助けに感謝する,I (    ) your help.,君の助け(    ),
104 ,1 ,appreciate,を高く評価する,appreciate his talent,彼の才能を高く評価する,(    ) his talent,彼の才能(    ),
105 ,2 ,measure,程度,a measure of respect,ある程度の尊敬,a (    ) of respect,ある(    )の尊敬,
105 ,1 ,measure,手段,take strong measures,強硬な手段を用いる,take strong (    ),強硬な(    )を用いる,
106 ,1 ,command,あやつる能力,have a good command of English,英語をうまくあやつる能力がある,have a good (    ) of English,英語をうまく(    )がある,
106 ,2 ,command,をみわたせる,The hill commands a fine view.,丘からいい景色をみわたせる,The hill (    ) a fine view.,丘からいい景色(    ),
106 ,3 ,command,を集める,command great respect,大いに尊敬を集める,(    ) great respect,大いに尊敬(    ),
107 ,3 ,bear,を持つ,bear relation to the matter,その問題に関係を持つ,(    ) relation to the matter,その問題に関係(    ),
107 ,2 ,bear,を産む,bear a child,子供を産む,(    ) a child,子供(    ),
107 ,1 ,bear,に耐える,bear the pain,痛みに耐える,(    ) the pain,痛み(    ),
108 ,4 ,stick,残った,The song stuck in my mind.,その歌は私の心に残った,The song (    ) in my mind.,その歌は私の心に(    ),
108 ,2 ,stick,動けなく,get stuck on a crowded train,混んだ列車で動けなくなる,get (    ) on a crowded train,混んだ列車で(    )なる,
108 ,3 ,stick,を突き出す,stick out my tongue,舌を突き出す,(    ) out my tongue,舌(    ),
108 ,1 ,stick,守る,stick to the schedule,予定を守る,(    ) to the schedule,予定を(    ),
109 ,3 ,fix,作って,I’ll fix you a drink.,飲み物を作ってあげる,I’ll (    ) you a drink.,飲み物を(    )あげる,
109 ,2 ,fix,を修理する,fix a broken car,壊れた車を修理する,(    ) a broken car,壊れた車(    ),
109 ,1 ,fix,固定された,a fixed point,固定された点,a (    ) point,(    )点,
110 ,2 ,fashion,を作る,fashion a new world,新しい世界を作る,(    ) a new world,新しい世界(    ),
110 ,1 ,fashion,やり方,in a similar fashion,同じようなやり方で,in a similar (    ),同じような(    )で,
111 ,2 ,charge,を請求する,charge a high price,高い代金を請求する,(    ) a high price,高い代金(    ),
111 ,4 ,charge,告訴される,be charged with murder,殺人で告訴される,be (    ) with murder,殺人で(    ),
111 ,3 ,charge,担当,He is in charge of the case.,彼がその事件の担当だ,He is in (    ) of the case.,彼がその事件の(    )だ,
111 ,1 ,charge,料金,free of charge,料金不要で,free of (    ),(    )不要で,
112 ,3 ,observe,を守る,observe the rule,規則を守る,(    ) the rule,規則(    ),
112 ,2 ,observe,と述べる,observe that prices would fall,物価は下がると述べる,(    ) that prices would fall,物価は下がる(    ),
112 ,1 ,observe,を観測する,observe the comet,彗星を観測する,(    ) the comet,彗星(    ),
113 ,2 ,conduct,行動,the standards of conduct,行動の基準,the standards of (    ),(    )の基準,
113 ,1 ,conduct,を行う,conduct an experiment,実験を行う,(    ) an experiment,実験(    ),
113 ,3 ,conduct,を伝える,conduct electricity,電気を伝える,(    ) electricity,電気(    ),
114 ,2 ,word,話,Could I have a word with you?,ちょっと話があるんですが,Could I have a (    ) with you?,ちょっと(    )があるんですが,
114 ,1 ,word,約束,I'll keep my word.,私は約束を守る,I'll keep my (    ).,私は(    )を守る,
115 ,3 ,touch,少し,add a touch of spice,スパイスを少し加える,add a (    ) of spice,スパイスを(    )加える,
115 ,2 ,touch,感動させた,The story touched him deeply.,その話は彼を深く感動させた,The story (    ) him deeply.,その話は彼を深く(    ),
115 ,1 ,touch,連絡,get in touch with him by phone,電話で彼に連絡をとる,get in (    ) with him by phone,電話で彼に(    )をとる,
116 ,1 ,degree,程度,agree to some degree,ある程度まで同意する,agree to some (    ),ある(    )まで同意する,
116 ,2 ,degree,学位,get a master's degree,修士の学位を取る,get a master's (    ),修士の(    )を取る,
117 ,1 ,lesson,教訓,learn a lesson from the failure,失敗から教訓を学ぶ,learn a (    ) from the failure,失敗から(    )を学ぶ,
118 ,1 ,deny,を否定する,deny the existence of God,神の存在を否定する,(    ) the existence of God,神の存在(    ),
118 ,2 ,deny,を与えない,deny them their civil rights,彼らに市民権を与えない,(    ) them their civil rights,彼らに市民権(    ),
119 ,1 ,break,休み,take a break for a cup of tea,一休みしてお茶を飲む,take a (    ) for a cup of tea,一(    )してお茶を飲む,
120 ,1 ,nature,本質,the nature of language,言語の本質,the (    ) of language,言語の(    ),
121 ,4 ,address,演説,the opening address,開会の演説,the opening (    ),開会の(    ),
121 ,2 ,address,に取り組む,address climate change,気候変動に取り組む,(    ) climate change,気候変動(    ),
121 ,3 ,address,に呼びかける,address the audience,聴衆に呼びかける,(    ) the audience,聴衆(    ),
121 ,1 ,address,宛てられた,a letter addressed to him,彼に宛てられた手紙,a letter (    ) to him,彼に(    )手紙,
122 ,2 ,press,切迫して,be pressed for time,時間が切迫している,be (    ) for time,時間が(    )いる,
122 ,1 ,press,出版,the freedom of the press,出版の自由,the freedom of the (    ),(    )の自由,
123 ,2 ,item,記事,the top news item,トップニュースの記事,the top news (    ),トップニュースの(    ),
123 ,1 ,item,品物,an expensive item,高価な品物,an expensive (    ),高価な(    ),
124 ,1 ,pity,同情,feel pity for the victims,犠牲者に同情する,feel (    ) for the victims,犠牲者に(    )する,
124 ,2 ,pity,残念なこと,It's a pity that he can't come.,彼が来られないのは残念なことだ,It's a (    ) that he can't come.,彼が来られないのは(    )だ,
125 ,1 ,beat,に勝つ,beat the champion,チャンピオンに勝つ,(    ) the champion,チャンピオン(    ),
126 ,1 ,point,指摘する,point out that it is wrong,それは誤りだと指摘する,(    ) out that it is wrong,それは誤りだと(    ),
126 ,2 ,point,意味,There's no point in writing it.,それを書く意味はない,There's no (    ) in writing it.,それを書く(    )はない,
126 ,3 ,point,主張,prove his point,彼の主張を証明する,prove his (    ),彼の(    )を証明する,
127 ,1 ,once,かつて,I lived there once.,私はかつてそこに住んでいた,I lived there (    ).,私は(    )そこに住んでいた,
127 ,2 ,once,とすぐ,"Once she arrives, we can start.",彼女が来るとすぐ我々は出発できる,"(    ) she arrives, we can start.",彼女が来る(    )我々は出発できる,
128 ,1 ,diet,食事,a healthy diet,健康的な食事,a healthy (    ),健康的な(    ),
128 ,3 ,diet,国会,a member of the Diet,国会議員,a member of the (    ),(    )議員,
128 ,2 ,diet,食事制限,She is on a diet.,彼女は食事制限をしている,She is on a (    ).,彼女は(    )をしている,
129 ,1 ,paper,論文,write a paper on economics,経済学の論文を書く,write a (    ) on economics,経済学の(    )を書く,
130 ,2 ,check,勘定書,a dinner check,ディナーの勘定書,a dinner (    ),ディナーの(    ),
130 ,3 ,check,を預ける,check bags at the airport,空港でバッグを預ける,(    ) bags at the airport,空港でバッグ(    ),
130 ,1 ,check,小切手,cash a check,小切手を現金に換える,cash a (    ),(    )を現金に換える,
131 ,1 ,bright,賢い,Meg is a bright girl.,メグは賢い子だ,Meg is a (    ) girl.,メグは(    )子だ,
132 ,1 ,sort,種,a sort of bird,一種の鳥,a (    ) of bird,一(    )の鳥,
132 ,2 ,sort,を分類する,sort papers by date,日付で書類を分類する,(    ) papers by date,日付で書類(    ),
133 ,1 ,court,裁判,The case went to court.,その事件は裁判になった,The case went to (    ).,その事件は(    )になった,
134 ,2 ,bound,行きだ,The plane is bound for Guam.,その飛行機はグアム行きだ,The plane is (    ) for Guam.,その飛行機はグアム(    ),
134 ,1 ,bound,きっと,He is bound to fail.,彼はきっと失敗する,He is (    ) to fail.,彼は(    )失敗する,
134 ,3 ,bound,縛られる,be bound by law,法律に縛られる,be (    ) by law,法律に(    ),
135 ,2 ,flat,アパート,live in a flat in London,ロンドンのアパートに住む,live in a (    ) in London,ロンドンの(    )に住む,
135 ,1 ,flat,平らな,a flat surface,平らな表面,a (    ) surface,(    )表面,
136 ,2 ,spare,を割く,spare him a few minutes,彼のために少し時間を割く,(    ) him a few minutes,彼のために少し時間(    ),
136 ,3 ,spare,を省く,spare him the trouble,彼の面倒を省く,(    ) him the trouble,彼の面倒(    ),
136 ,4 ,spare,を惜しま,spare no effort to help her,彼女を助ける努力を惜しまない,(    ) no effort to help her,彼女を助ける努力(    )ない,
136 ,1 ,spare,余分な,have no spare money,余分なお金はない,have no (    ) money,(    )お金はない,
137 ,1 ,capital,首都,the capital of Australia,オーストラリアの首都,the (    ) of Australia,オーストラリアの(    ),
137 ,2 ,capital,資本,labor and capital,労働と資本,labor and (    ),労働と(    ),
138 ,1 ,tongue,言葉,speak in a foreign tongue,外国の言葉でしゃべる,speak in a foreign (    ),外国の(    )でしゃべる,
139 ,1 ,credit,功績,credit for the discovery,その発見の功績,(    ) for the discovery,その発見の(    ),
139 ,2 ,credit,単位,college credits,大学の単位,college (    ),大学の(    ),
140 ,1 ,succeed,受け継ぐ,succeed to the crown,王位を受け継ぐ,(    ) to the crown,王位を(    ),
141 ,2 ,settle,定住する,settle in America,アメリカに定住する,(    ) in America,アメリカに(    ),
141 ,3 ,settle,落ち着く,get married and settle down,結婚して落ち着く,get married and (    ) down,結婚して(    ),
141 ,1 ,settle,を解決する,settle the dispute,紛争を解決する,(    ) the dispute,紛争(    ),
142 ,1 ,vision,未来像,a vision of the city,その都市の未来像,a (    ) of the city,その都市の(    ),
142 ,3 ,vision,視力,have poor vision,視力が弱い,have poor (    ),(    )が弱い,
142 ,2 ,vision,先見の明,a leader of vision,先見の明のある指導者,a leader of (    ),(    )のある指導者,
143 ,1 ,but,だけ,I have but one question.,１つだけ質問がある,I have (    ) one question.,１つ(    )質問がある,
143 ,2 ,but,を除いて,They all went out but me.,私を除いて皆出かけた,They all went out (    ) me.,私(    )皆出かけた,
144 ,1 ,given,特定の,in a given situation,ある特定の状況で,in a (    ) situation,ある(    )状況で,
144 ,3 ,given,ことを考慮すると,given that you are young,君が若いことを考慮すると,(    ) that you are young,君が若い(    ),
144 ,2 ,given,を考慮すると,given the present conditions,現状を考慮すると,(    ) the present conditions,現状(    ),
145 ,2 ,pay,割に合う,Honesty doesn't always pay.,正直は割に合うとは限らない,Honesty doesn't always (    ).,正直は(    )とは限らない,
145 ,1 ,pay,給料,equal pay for equal work,同じ仕事に対する同じ給料,equal (    ) for equal work,同じ仕事に対する同じ(    ),
146 ,1 ,good,かなり,a good many people,かなり多くの人,a (    ) many people,(    )多くの人,
146 ,2 ,good,利益,work for the public good,公共の利益のために働く,work for the public (    ),公共の(    )のために働く,
147 ,2 ,discipline,分野,scientists of many disciplines,いろんな分野の科学者たち,scientists of many (    ),いろんな(    )の科学者たち,
147 ,1 ,discipline,規律,teach students discipline,学生に規律を教える,teach students (    ),学生に(    )を教える,
148 ,2 ,bill,紙幣,a ten dollar bill,10ドル紙幣,a ten dollar (    ),10ドル(    ),
148 ,1 ,bill,請求書,an electricity bill,電気代の請求書,an electricity (    ),電気代の(    ),
148 ,3 ,bill,法案,pass a bill,法案を可決する,pass a (    ),(    )を可決する,
149 ,3 ,relief,除去,relief from stress,ストレスの除去,(    ) from stress,ストレスの(    ),
149 ,1 ,relief,安心,breathe a sigh of relief,安心してため息をつく,breathe a sigh of (    ),(    )してため息をつく,
149 ,2 ,relief,救済,relief from poverty,貧困に対する救済,(    ) from poverty,貧困に対する(    ),
150 ,2 ,board,委員会,the school board,教育委員会,the school (    ),教育(    ),
150 ,1 ,board,に乗り込む,board a plane,飛行機に乗り込む,(    ) a plane,飛行機(    ),
151 ,1 ,mad,腹を立てた,She got mad at me.,彼女は私に腹を立てた,She got (    ) at me.,彼女は私に(    ),
152 ,3 ,yield,取って代わられた,Radio yielded to television.,ラジオはテレビに取って代わられた,Radio (    ) to television.,ラジオはテレビに(    ),
152 ,2 ,yield,屈する,yield to pressure,圧力に屈する,(    ) to pressure,圧力に(    ),
152 ,1 ,yield,を産出する,yield food and wood,食料や木材を産出する,(    ) food and wood,食料や木材(    ),
153 ,2 ,rear,を育てる,rear three children,３人の子供を育てる,(    ) three children,３人の子供(    ),
153 ,1 ,rear,後部,a rear seat,後部座席,a (    ) seat,(    )座席,
154 ,1 ,fancy,高級,fancy restaurant,高級レストラン,(    ) restaurant,(    )レストラン,
154 ,2 ,fancy,と想像する,fancy myself a novelist,自分が小説家だと想像する,(    ) myself a novelist,自分が小説家だ(    ),
155 ,2 ,shame,残念なこと,What a shame!,なんと残念なことか,What a (    )!,なんと(    )か,
155 ,1 ,shame,恥,feel no shame,恥と思わない,feel no (    ),(    )と思わない,
156 ,1 ,waste,を浪費する,waste money,お金を浪費する,(    ) money,お金(    ),
156 ,2 ,waste,廃棄物,industrial waste,産業廃棄物,industrial (    ),産業(    ),
157 ,1 ,drive,を追い,drive the dog away,犬を追い払う,(    ) the dog away,犬(    )払う,
157 ,2 ,drive,駆りたて,be driven by curiosity,好奇心に駆りたてられる,be (    ) by curiosity,好奇心に(    )られる,
157 ,3 ,drive,欲求,my strong drive to succeed,成功したいという強い欲求,my strong (    ) to succeed,成功したいという強い(    ),
158 ,1 ,accent,なまり,English with an Italian accent,イタリアなまりの英語,English with an Italian (    ),イタリア(    )の英語,
159 ,1 ,make,になる,He will make a good teacher.,彼はよい教師になるだろう,He will (    ) a good teacher.,彼はよい教師(    )だろう,
160 ,2 ,late,故,the late Mr. Ford,故フォード氏,the (    ) Mr. Ford,(    )フォード氏,
160 ,1 ,late,終わりごろ,in his late thirties,彼の30代の終わりごろに,in his (    ) thirties,彼の30代の(    )に,
161 ,2 ,soul,１人,There was not a soul there.,そこには１人もいなかった,There was not a (    ) there.,そこには(    )もいなかった,
161 ,1 ,soul,魂,her body and soul,彼女の肉体と魂,her body and (    ),彼女の肉体と(    ),
162 ,1 ,arms,軍備,arms control,軍備制限,(    ) control,(    )制限,
163 ,1 ,vice,悪徳,virtue and vice,美徳と悪徳,virtue and (    ),美徳と(    ),
163 ,2 ,vice,副,vice president,副大統領,(    ) president,(    )大統領,
164 ,1 ,story,階,a five-story building,５階建ての建物,a five-(    ) building,５(    )建ての建物,
165 ,1 ,move,感動した,She was moved by my story.,彼女は私の話に感動した,She was (    ) by my story.,彼女は私の話に(    ),
166 ,1 ,lot,場,a parking lot,駐車場,a parking (    ),駐車(    ),
166 ,2 ,lot,運命,She accepted her lot.,彼女は運命を受け入れた,She accepted her (    ).,彼女は(    )を受け入れた,
167 ,1 ,trick,芸,teach the dolphin new tricks,イルカに新しい芸を教える,teach the dolphin new (    ),イルカに新しい(    )を教える,
167 ,5 ,trick,たくらみ,a clever trick,巧妙なたくらみ,a clever (    ),巧妙な(    ),
167 ,3 ,trick,いたずら,play a trick on the teacher,先生にいたずらする,play a (    ) on the teacher,先生に(    )する,
167 ,2 ,trick,コツ,a trick for memorizing words,単語を覚えるコツ,a (    ) for memorizing words,単語を覚える(    ),
167 ,4 ,trick,をだまして,trick him into buying the pot,彼をだましてそのつぼを買わせる,(    ) him into buying the pot,彼(    )そのつぼを買わせる,
168 ,1 ,spring,出現する,New companies will spring up there.,そこに新しい会社が出現するだろう,New companies will (    ) up there.,そこに新しい会社が(    )だろう,
169 ,2 ,pose,を提起する,pose a question,疑問を提起する,(    ) a question,疑問(    ),
169 ,1 ,pose,を引き起こす,pose a problem,問題を引き起こす,(    ) a problem,問題(    ),
170 ,1 ,fit,適する,the water is fit to drink,その水は飲むのに適する,the water is (    ) to drink,その水は飲むのに(    ),
170 ,2 ,fit,健康で,go to the gym to keep fit,健康でいるためにジムに通う,go to the gym to keep (    ),(    )いるためにジムに通う,
171 ,5 ,note,紙幣,a ten-pound note,10ポンド紙幣,a ten-pound (    ),10ポンド(    ),
171 ,2 ,note,書いた,He noted that America is a big country.,アメリカは大国だと彼は書いた,He (    ) that America is a big country.,アメリカは大国だと彼は(    ),
171 ,3 ,note,注意しなさい,Note that the book is non-fiction.,その本は実話だということに注意しなさい,(    ) that the book is non-fiction.,その本は実話だということに(    ),
171 ,4 ,note,有名だ,He is noted for his intelligence.,彼は知的なことで有名だ,He is (    ) for his intelligence.,彼は知的なことで(    ),
171 ,1 ,note,メモ,take notes on what you hear,聞くことをメモする,take (    ) on what you hear,聞くことを(    )する,
172 ,2 ,control,対照,control group,実験の対照群,(    ) group,実験の(    )群,
172 ,1 ,control,規制,gun control laws,銃規制法,gun (    ) laws,銃(    )法,
173 ,1 ,authority,当局,the school authorities,学校当局,the school (    ),学校(    ),
173 ,2 ,authority,権力,the authority of the state,国家の権力,the (    ) of the state,国家の(    ),
173 ,3 ,authority,権威,an authority on biology,生物学の権威,an (    ) on biology,生物学の(    ),
174 ,1 ,say,たとえば,"Consider a fruit, say, an orange.",フルーツ、たとえばオレンジを考えよ,"Consider a fruit, (    ), an orange.",フルーツ、(    )オレンジを考えよ,
174 ,2 ,say,と仮定しよう,Let's say you have a million dollars.,君が100万ドル持っていると仮定しよう,Let's (    ) you have a million dollars.,君が100万ドル持っている(    ),
174 ,3 ,say,どうですか,What do you say to going on a trip?,旅に出かけたらどうですか,What do you (    ) to going on a trip?,旅に出かけたら(    ),
175 ,1 ,fast,ぐっすり,She is fast asleep,彼女はぐっすり眠っている,She is (    ) asleep,彼女は(    )眠っている,
176 ,1 ,minute,細かい,minute differences,細かい違い,(    ) differences,(    )違い,
177 ,1 ,sentence,判決,a death sentence,死刑の判決,a death (    ),死刑の(    ),
178 ,1 ,gifted,才能ある,a gifted pianist,才能あるピアニスト,a (    ) pianist,(    )ピアニスト,
179 ,1 ,like,など,"apples, peaches, and the like",リンゴや桃など,"apples, peaches, and the (    )",リンゴや桃(    ),
180 ,1 ,coin,を作り出す,coin a new term,新語を作り出す,(    ) a new term,新語(    ),
181 ,2 ,spell,続き,a long dry spell,長い日照り続き,a long dry (    ),長い日照り(    ),
181 ,1 ,spell,魔法,She cast a spell on me.,彼女は私に魔法をかけた,She cast a (    ) on me.,彼女は私に(    )をかけた,
182 ,1 ,air,様子,an air of confidence,自信がある様子,an (    ) of confidence,自信がある(    ),
183 ,1 ,game,獲物,go hunting for big game,大きな獲物を狩りに行く,go hunting for big (    ),大きな(    )を狩りに行く,
184 ,2 ,condition,左右されている,Our lives are conditioned by technology.,私たちの生活は技術に左右されている,Our lives are (    ) by technology.,私たちの生活は技術に(    ),
184 ,1 ,condition,慣らされている,We've been conditioned to believe that busier is better.,私たちは忙しい方がよいと信じるように慣らされている,We've been (    ) to believe that busier is better.,私たちは忙しい方がよいと信じるように(    ),
